STAT_DATE,XMMC,year,month,day
2016-06-16,(B)冬瓜(半),2016,6,16
2016-06-17,(B)冬瓜(半),2016,6,17
2016-06-18,(B)冬瓜(半),2016,6,18
2016-06-19,(B)冬瓜(半),2016,6,19
2016-06-20,(B)冬瓜(半),2016,6,20
2016-06-21,(B)冬瓜(半),2016,6,21
2016-06-22,(B)冬瓜(半),2016,6,22
2016-06-23,(B)冬瓜(半),2016,6,23
2016-06-24,(B)冬瓜(半),2016,6,24
2016-06-25,(B)冬瓜(半),2016,6,25
2016-06-26,(B)冬瓜(半),2016,6,26
2016-06-27,(B)冬瓜(半),2016,6,27
2016-06-28,(B)冬瓜(半),2016,6,28
2016-06-29,(B)冬瓜(半),2016,6,29
2016-06-30,(B)冬瓜(半),2016,6,30
2016-07-01,(B)冬瓜(半),2016,7,1
2016-07-02,(B)冬瓜(半),2016,7,2
2016-07-03,(B)冬瓜(半),2016,7,3
2016-07-04,(B)冬瓜(半),2016,7,4
2016-07-05,(B)冬瓜(半),2016,7,5
2016-07-06,(B)冬瓜(半),2016,7,6
2016-07-07,(B)冬瓜(半),2016,7,7
2016-07-08,(B)冬瓜(半),2016,7,8
2016-07-09,(B)冬瓜(半),2016,7,9
2016-07-10,(B)冬瓜(半),2016,7,10
2016-07-11,(B)冬瓜(半),2016,7,11
2016-07-12,(B)冬瓜(半),2016,7,12
2016-07-13,(B)冬瓜(半),2016,7,13
2016-07-14,(B)冬瓜(半),2016,7,14
2016-07-15,(B)冬瓜(半),2016,7,15
2016-07-16,(B)冬瓜(半),2016,7,16
2016-07-17,(B)冬瓜(半),2016,7,17
2016-07-18,(B)冬瓜(半),2016,7,18
2016-07-19,(B)冬瓜(半),2016,7,19
2016-07-20,(B)冬瓜(半),2016,7,20
2016-07-21,(B)冬瓜(半),2016,7,21
2016-07-22,(B)冬瓜(半),2016,7,22
2016-07-23,(B)冬瓜(半),2016,7,23
2016-07-24,(B)冬瓜(半),2016,7,24
2016-07-25,(B)冬瓜(半),2016,7,25
2016-07-26,(B)冬瓜(半),2016,7,26
2016-07-27,(B)冬瓜(半),2016,7,27
2016-07-28,(B)冬瓜(半),2016,7,28
2016-07-29,(B)冬瓜(半),2016,7,29
2016-07-30,(B)冬瓜(半),2016,7,30
2016-07-31,(B)冬瓜(半),2016,7,31
2016-08-01,(B)冬瓜(半),2016,8,1
